id;description;label
814469951099;"""Когда устал и жить не хочешь,Полезно помнить в гн"" ";Философия и религия
849433210092;;Торговля и объявления
852458632411;"""МИР ВАШЕМУ ДОМУ! ДОРОГИЕ ДРУЗЬЯ, ХРАНИ ВАС ГОСПОДЬ"" ";Философия и религия
860243294215;"""Альбом \""Праздничные мопсы\"" https://ok.ru/mopsyata/"" ";Животные
861555576675;Умнее некоторых людей  ;Животные
861945621054;"""ВНИМАНИЕ! В отделах \""ШАПОЧКА\"" и \""ШАПОЧКА+\"" НОВОЕ П"" ";Торговля и объявления
862269947159;😂 😂 😂 ;Развлечения и юмор
864681945383;Приветствуем первый зимний месяц вместе с Фобосом ;Игры
865768123444;"""+37529 7807324 +37529  9673684 Срочно нужны окна,б"" ";Торговля и объявления
868863388472;Приколы с детьми ;Развлечения и юмор
870095804734;"""Манишка – это теплый и практичный шарф, связанный"" ";Торговля и объявления
870352278842;///;Торговля и объявления
873193624183;"""Споткнулись – бывает. Бывает, что и упадешь. Это"" ";Философия и религия
873327897052;"""Мебель на заказ 8 927 539 07 05 - Максим Выезжаем"" ";Торговля и объявления
875047708095;"""...Не  задавай  вопросы, если  не  знаешь, как буд"" ";Философия и религия
875254147781;💞 ;Музыка
877356789941;К НОВОМУ ГОДУ ГОТОВ ;Развлечения и юмор
879113857244;"""- МНЕ , ПОЖАЛУЙСТА , ВОТ ЭТОТ КУСОЧЕК )"" ";Животные
879846930455;бывает и такое  ;Развлечения и юмор
880375832999;"""Oвoщepезкa мультиcлайcep для oвощей и фpуктoв  Мгн"" ";Торговля и объявления
881623288436;Дружбаны не разлей вода !) ;Животные
882331203108;"""\""Доверяй, но проверяй\"".... Ненавижу , когда так го"" ";Философия и религия
882380261462;Натяжные потолки!тел.8-983-191-07-66 ;Торговля и объявления
882865053551;"""Уходя, оставьте Свет! Это больше, чем  остаться..."" ";Философия и религия
882923669493;ПРОДАЮ КОМПЛЕКТЫ БАНЬ . ДАЧНЫХ ДОМИКОВ  БРУС 10Х15 ;Торговля и объявления
882923741685;ПРОДАЮ КОМПЛЕКТЫ БАНЬ . ДАЧНЫХ ДОМИКОВ  БРУС 10Х15 ;Торговля и объявления
884588031609;Он сломался?? ;Развлечения и юмор
884946095656;Продаётся профессиональный бильярдный стол с лампа ;Торговля и объявления
885041462187;"""Помни, что до конца жизни ты будешь впадать в грех"" ";Философия и религия
885074728307;"""БЛАГОСЛОВЕННОГО СУББОТНЕГО ДНЯ, ДОРОГИЕ ДРУЗЬЯ! ПО"" ";Философия и религия
886971331682;Ключи для домофона всевозможных расцветок и форм т ;Торговля и объявления
888034877993;вот это мечты  ;Развлечения и юмор
889188571194;#приколы#гиф ;Развлечения и юмор
889536700785;Продается дом +;Торговля и объявления
890605388698;"""Для работы в АО «СИБИРЬ-ПОЛИМЕТАЛЛЫ» требуются:."" ";Торговля и объявления
890823413249;"""Салат \""Быстро и вкусно\""  Ингредиенты:  - капуста"" ";Кулинария
890930541569;Впечатляет! ;Мода красота и здоровье
891098288385;"""Очень вкусный рецепт Торта \""Медовик\"" РЕЦЕПТ: Для т"" ";Кулинария
891123439361;Очень красиво!!! ;Мода красота и здоровье
891301222657;"""Два лучших рецепта хвороста  Раскалить масло и фор"" ";Кулинария
891478396929;Обалденная! ;Мода красота и здоровье
891537412220;;Мода красота и здоровье
891584198605;"""КУРС: \""СПЕЦИАЛИСТ ОТДЕЛА КАДРОВ, 1С ЗАРПЛАТА И УПР"" ";Торговля и объявления
891671481857;Поиграем? Какое слово пришло на ум? ;Развлечения и юмор
891691449980;"""Львовский сырник  Пожалуй, Львовский сырник - это"" ";Кулинария
892040162940;ИЗГОТОВЛЕНИЕ МЕБЕЛИ ПО ИНДИВИДУАЛЬНЫМ РАЗМЕРАМ И Ж ;Торговля и объявления
892074625148;"""Печень, приготовленная в рукаве для запекания в ду"" ";Кулинария
892088055122;;Развлечения и юмор
892094330115;"""Продам двс, кпп( после кап.рем) на ваз 2109.т 8913"" ";Торговля и объявления
892133513475;Печеночный торт готовили наши мамы и бабушки. И ес ;Кулинария
892139076355;"""Продам ваз 2107 один хозяин газ 2000г, новый акум,"" ";Торговля и объявления
892149347585;"""Ремонт в вашем доме,квартире,офисе.Работаем с разн"" ";Торговля и объявления
892155926531;"""Печень — простой и полезный продукт, который незас"" ";Кулинария
892166282241;🤖 Робот художник «Quincy» (реплика) обучает азам р ;Творчество и дизайн
892184947201;"""Когда нет места, чтобы сесть - веси 😄"" ";Спорт
892590138115;;Торговля и объявления
892609044993;Рождественская пора в Австрии – красивое и душевно ;Путешествия
892642859009;В Курской области +169 новых случаев коронавируса ;СМИ
892824684803;;Торговля и объявления
892846425345;Вау! Вот это тортик ;Творчество и дизайн
892939041025;"""Пока дети на карантине, а мама работала"" ";Творчество и дизайн
893040998913;В Курской области на утро 13 декабря +178 новых сл ;СМИ
893053792254;Когда ты немножко одуванчик))) ;Развлечения и юмор
893116383745;В курском комздраве прокомментировали закупку инсу ;СМИ
893131548158;"""Английский, немецкий и русский языки для детей и в"" ";Торговля и объявления
893285849345;"""Тысяч на сто получилась ёлочка."" ";Развлечения и юмор
893370339203;Испания. ;Путешествия
893430548225;Девочка очень ищет своих хозяев. Подарите ей дом и ;Торговля и объявления
893498637057;Куколки ручной работы. Выглядят как настоящие детк ;Творчество и дизайн
893503981948;Давайте сделаем это! ;Спорт
893509459713;На утро 25 декабря в Курской области +187 новых сл ;СМИ
893517702524;"""Ситуация в группе, вчера Интер победил Боруссии, т"" ";Спорт
893524271484;"""Тони Кроос: «Это сложно, потому что мы провели хор"" ";Спорт
893534257788;"""ЛУЧШИЙ КВЕСТ  Друзья! Какой из ноябрьских квестов"" ";Игры
893575609857;Вместе с дочкой придумали ;Творчество и дизайн
893679927676;"""Ленивые голубцы  Много лет назад свекровь поделила"" ";Кулинария
893708756092;"""Скумбрия, запеченная в горчично-сметанном соусе в"" ";Кулинария
893731036540;"""г. Сургут  Версия: \""Эконом\"" Отделка: со шлифовкой"" ";Увлечения и хобби
893752053372;"""Не тратьте слов своих на тех, кто их не слышит,  Н"" ";Философия и религия
893758548604;Непредсказумые ситуации во время прямого эфира ;Развлечения и юмор
893762409347;"""Домашние пельмени от Инны Кондрашовой  Очень вкусн"" ";Кулинария
893765806716;«Реал Мадрид» – «Боруссия М». Зинедин Зидан: «Мы з ;Спорт
893792350076;;Развлечения и юмор
893792369276;;Развлечения и юмор
893822895235;Гуляш с подливкой и картофельным пюре как в садике ;Кулинария
893826802556;"""Очаровательные броши из полимерной глины  Автор: И"" ";Увлечения и хобби
893835824677;;Увлечения и хобби
893845763297;Kaк вaм тaкoй чердак? 👇 ;Творчество и дизайн
893855594435;;Развлечения и юмор
893862537667;;Развлечения и юмор
893921707518;"""Домашняя сгущенка  Ингредиенты:   200 гр молока  2"" ";Кулинария
893921937020;"""Тот, кого ты хочешь! 🌶 Тот, к кому тянет, по необъ"" ";Торговля и объявления
893958169539;Продам 89641020834 ;Торговля и объявления
894031407996;продажа ;Торговля и объявления
894055707653;"""Чудесный салат \""Хлопушка\"" Надо взять: Картофель —"" ";Кулинария
894120228162;"""1000₽ торг, самовывоз из Белореченска"" ";Торговля и объявления
894124243324;"""ЯРЛЫКИ  У тебя на участке остались хранилища, к ко"" ";Игры
894192135548;"""СВИНКА-КОПИЛКА  Трать самоцветы и пополняй свою св"" ";Игры
894203540860;"""Инстаграм Каземиро: ➕3️⃣💪🏽  КОМАНДА   #HalaMadrid "" ";Спорт
894210039420;Инстаграм Крооса ;Спорт
894226971516;"""ДЕВОЧКА-КОЗЕРОГ  Покормите любых животных на своём"" ";Игры
894232519689;"""Дорогие друзья , поздравляю с наступающим Новым го"" ";Торговля и объявления
894237904835;;Торговля и объявления
894274812867;"""Продам платья б/у в хорошем состоянии, размер 50 п"" ";Торговля и объявления
